generated_at,suffix,badge_label,badge_state,badge_warn,badge_danger,overloaded_ratio,anomalies_count,guard_gate,guard_ok_streak,guard_no_regression,guard_gate_result,guard_ok_result,guard_no_regression_result
2025-12-25T06:14:26Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T06:19:24Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T06:22:52Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T06:27:39Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T06:33:04Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:04:20Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:04:46Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:07:39Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:18:30Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:23:19Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:30:06Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:32:48Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:34:51Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:35:06Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:37:38Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:43:39Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:43:58Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,,,,
2025-12-25T07:47:48Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T07:48:16Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T07:48:48Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T07:52:34Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:02:36Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:08:05Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:12:32Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:17:40Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:22:29Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:27:22Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:34:37Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:34:58Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:38:39Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:43:29Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:47:30Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:52:33Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T08:57:41Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T09:03:45Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T09:10:05Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T09:14:46Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
2025-12-25T09:17:44Z,status_top2,uptime,alert,30.0,60.0,50.0,4,,,False,,,
